Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,17131.599609,17164.599609,17043.500000,17100.000000,17100.000000,15621350000
2020-01-03,17054.800781,17105.699219,17033.199219,17066.099609,17066.099609,18549210000
2020-01-06,17042.300781,17105.500000,17041.199219,17105.500000,17105.500000,19535180000
2020-01-07,17119.599609,17178.000000,17110.300781,17168.099609,17168.099609,17193580000
2020-01-08,17172.699219,17229.900391,17164.599609,17167.800781,17167.800781,24698010000
2020-01-09,17205.900391,17255.500000,17201.300781,17235.599609,17235.599609,22250120000
2020-01-10,17223.199219,17254.099609,17187.199219,17234.500000,17234.500000,19251410000
2020-01-13,17237.599609,17301.800781,17198.900391,17293.400391,17293.400391,26808680000
2020-01-14,17288.599609,17356.500000,17281.300781,17352.900391,17352.900391,23549560000
2020-01-15,17364.800781,17421.699219,17345.099609,17415.199219,17415.199219,20764520000
2020-01-16,17443.500000,17489.599609,17438.500000,17484.800781,17484.800781,26142060000
2020-01-17,17507.699219,17572.199219,17502.400391,17559.000000,17559.000000,22467330000
2020-01-20,17548.099609,17620.199219,17538.400391,17597.400391,17597.400391,11182110000
2020-01-21,17551.500000,17589.500000,17536.300781,17572.300781,17572.300781,24156310000
2020-01-22,17570.300781,17666.500000,17558.000000,17599.900391,17599.900391,21332970000
2020-01-23,17564.800781,17621.800781,17540.800781,17621.800781,17621.800781,33091430000
2020-01-24,17629.400391,17646.400391,17514.699219,17565.300781,17565.300781,19368910000
2020-01-27,17376.800781,17466.099609,17360.000000,17442.500000,17442.500000,20377400000
2020-01-28,17475.000000,17519.000000,17456.099609,17500.900391,17500.900391,19813980000
2020-01-29,17547.500000,17561.900391,17496.699219,17511.800781,17511.800781,16941280000
2020-01-30,17429.599609,17502.900391,17395.900391,17490.599609,17490.599609,19107030000
2020-01-31,17442.300781,17450.699219,17272.699219,17318.500000,17318.500000,23915700000
2020-02-03,17351.000000,17441.599609,17351.000000,17379.800781,17379.800781,19633150000
2020-02-04,17504.599609,17548.800781,17493.800781,17512.699219,17512.699219,23504530000
2020-02-05,17629.400391,17674.000000,17606.099609,17651.599609,17651.599609,22339970000
2020-02-06,17686.099609,17758.500000,17670.599609,17757.500000,17757.500000,19932750000
2020-02-07,17705.400391,17716.699219,17633.000000,17655.500000,17655.500000,20982780000
2020-02-10,17646.599609,17743.599609,17646.599609,17740.599609,17740.599609,21073560000
2020-02-11,17783.599609,17822.199219,17769.300781,17777.099609,17777.099609,19930210000
2020-02-12,17873.099609,17873.099609,17812.000000,17832.900391,17832.900391,24620350000
2020-02-13,17764.099609,17829.199219,17750.800781,17821.199219,17821.199219,25569660000
2020-02-14,17811.300781,17848.500000,17798.599609,17848.400391,17848.400391,22270680000
2020-02-18,17818.900391,17871.300781,17812.500000,17858.300781,17858.300781,29436100000
2020-02-19,17887.599609,17933.199219,17851.300781,17925.400391,17925.400391,21595300000
2020-02-20,17911.599609,17970.500000,17860.599609,17944.099609,17944.099609,24879800000
2020-02-21,17936.500000,17949.800781,17833.099609,17843.500000,17843.500000,27126090000
2020-02-24,17608.900391,17608.900391,17463.099609,17562.699219,17562.699219,31012050000
2020-02-25,17560.500000,17586.800781,17124.900391,17177.400391,17177.400391,30324560000
2020-02-26,17140.900391,17304.599609,17029.900391,17041.900391,17041.900391,30363200000
2020-02-27,16803.400391,16816.199219,16456.800781,16717.400391,16717.400391,23268590000
2020-02-28,16184.400391,16276.900391,15896.400391,16263.099609,16263.099609,59021930000
2020-03-02,16325.000000,16566.699219,16166.299805,16553.300781,16553.300781,37472150000
2020-03-03,16674.900391,16798.199219,16378.299805,16423.599609,16423.599609,39312790000
2020-03-04,16659.900391,16779.500000,16539.400391,16779.500000,16779.500000,27371860000
2020-03-05,16541.599609,16684.900391,16456.699219,16554.000000,16554.000000,31301230000
2020-03-06,16222.099609,16261.500000,16015.799805,16175.000000,16175.000000,37470380000
2020-03-09,15221.799805,15240.299805,14498.299805,14514.200195,14514.200195,55922740000
2020-03-10,15019.000000,15048.799805,14481.900391,14958.099609,14958.099609,57100130000
2020-03-11,14639.700195,14714.200195,14185.200195,14270.099609,14270.099609,46899090000
2020-03-12,13611.799805,13611.799805,12451.099609,12508.500000,12508.500000,67833290000
2020-03-13,13161.599609,13716.299805,12608.299805,13716.299805,13716.299805,66932870000
2020-03-16,12648.700195,12851.700195,11883.700195,12360.400391,12360.400391,52566830000
2020-03-17,12525.299805,13114.500000,12322.700195,12685.200195,12685.200195,61874520000
2020-03-18,12197.700195,12500.000000,11384.099609,11721.400391,11721.400391,58943700000
2020-03-19,11657.299805,12294.400391,11361.299805,12170.500000,12170.500000,53158630000
2020-03-20,12335.700195,12670.799805,11809.400391,11851.799805,11851.799805,72789030000
