"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2021","15,036.55","15,061.86","15,175.25","15,016.93","52.65M","-0.79%"
"Oct 01, 2021","15,156.44","15,041.60","15,262.75","14,983.80","66.03M","-0.68%"
"Sep 30, 2021","15,260.69","15,434.33","15,448.52","15,246.00","74.66M","-0.68%"
"Sep 29, 2021","15,365.27","15,357.00","15,422.75","15,301.35","56.30M","0.77%"
"Sep 28, 2021","15,248.56","15,542.03","15,542.41","15,232.97","75.17M","-2.09%"
"Sep 27, 2021","15,573.88","15,699.01","15,704.05","15,552.09","59.03M","0.27%"
"Sep 24, 2021","15,531.75","15,562.14","15,573.46","15,497.17","49.97M","-0.72%"
"Sep 23, 2021","15,643.97","15,630.01","15,695.65","15,593.72","54.65M","0.88%"
"Sep 22, 2021","15,506.74","15,463.24","15,508.42","15,378.93","54.14M","1.03%"
"Sep 21, 2021","15,348.53","15,265.03","15,394.33","15,205.70","61.55M","1.43%"
"Sep 20, 2021","15,132.06","15,259.50","15,262.76","15,019.49","96.69M","-2.31%"
"Sep 17, 2021","15,490.17","15,774.57","15,791.90","15,455.54","158.39M","-1.03%"
"Sep 16, 2021","15,651.75","15,666.63","15,745.19","15,638.23","54.36M","0.23%"
"Sep 15, 2021","15,616.00","15,731.48","15,740.01","15,613.72","58.97M","-0.68%"
"Sep 14, 2021","15,722.99","15,697.72","15,763.58","15,663.42","51.34M","0.14%"
"Sep 13, 2021","15,701.42","15,681.17","15,787.66","15,674.16","50.52M","0.59%"
"Sep 10, 2021","15,609.81","15,648.89","15,702.60","15,574.94","55.58M","-0.09%"
"Sep 09, 2021","15,623.15","15,499.45","15,693.22","15,453.96","54.61M","0.08%"
"Sep 08, 2021","15,610.28","15,714.61","15,755.30","15,590.41","62.58M","-1.47%"
"Sep 07, 2021","15,843.09","15,896.56","15,927.77","15,826.86","45.06M","-0.56%"
"Sep 06, 2021","15,932.12","15,818.44","15,959.74","15,814.63","31.92M","0.96%"
"Sep 03, 2021","15,781.20","15,841.45","15,868.69","15,690.02","40.90M","-0.37%"
"Sep 02, 2021","15,840.59","15,813.57","15,874.67","15,810.77","37.30M","0.10%"
"Sep 01, 2021","15,824.29","15,958.41","15,981.70","15,773.44","53.32M","-0.07%"
"Aug 31, 2021","15,835.09","15,929.26","16,006.76","15,761.57","75.10M","-0.33%"
"Aug 30, 2021","15,887.31","15,856.71","15,896.73","15,847.66","27.22M","0.22%"
"Aug 27, 2021","15,851.75","15,778.92","15,859.77","15,752.09","32.13M","0.37%"
"Aug 26, 2021","15,793.62","15,773.71","15,834.91","15,701.85","39.68M","-0.42%"
"Aug 25, 2021","15,860.66","15,912.85","15,932.62","15,853.32","35.54M","-0.28%"
"Aug 24, 2021","15,905.85","15,897.86","15,918.72","15,856.05","42.75M","0.33%"
"Aug 23, 2021","15,852.79","15,930.72","15,930.72","15,799.59","39.88M","0.28%"
"Aug 20, 2021","15,808.04","15,734.68","15,808.04","15,656.28","49.98M","0.27%"
"Aug 19, 2021","15,765.81","15,737.18","15,804.85","15,621.98","64.75M","-1.25%"
"Aug 18, 2021","15,965.97","15,935.21","15,969.85","15,872.99","45.36M","0.28%"
"Aug 17, 2021","15,921.95","15,872.12","15,937.47","15,811.57","46.08M","-0.02%"
"Aug 16, 2021","15,925.73","15,875.70","15,961.18","15,851.28","44.31M","-0.32%"
"Aug 13, 2021","15,977.44","15,948.15","16,030.33","15,940.82","39.91M","0.25%"
"Aug 12, 2021","15,937.51","15,829.27","15,964.38","15,823.53","53.02M","0.70%"
"Aug 11, 2021","15,826.09","15,792.12","15,887.16","15,724.99","46.98M","0.35%"
"Aug 10, 2021","15,770.71","15,734.14","15,802.15","15,733.65","37.94M","0.16%"
"Aug 09, 2021","15,745.41","15,773.51","15,798.51","15,699.27","41.28M","-0.10%"
"Aug 06, 2021","15,761.45","15,770.85","15,808.24","15,737.10","52.19M","0.11%"
"Aug 05, 2021","15,744.67","15,691.74","15,751.88","15,672.27","61.56M","0.33%"
"Aug 04, 2021","15,692.13","15,653.65","15,712.27","15,600.80","54.85M","0.88%"
"Aug 03, 2021","15,555.08","15,537.69","15,608.07","15,492.58","50.02M","-0.09%"
"Aug 02, 2021","15,568.73","15,631.70","15,702.89","15,511.25","53.80M","0.16%"
"Jul 30, 2021","15,544.39","15,493.74","15,613.66","15,440.89","61.34M","-0.61%"
"Jul 29, 2021","15,640.47","15,608.82","15,659.22","15,563.65","51.56M","0.45%"
"Jul 28, 2021","15,570.36","15,538.75","15,577.13","15,497.10","56.57M","0.33%"
"Jul 27, 2021","15,519.13","15,537.89","15,586.90","15,423.56","44.08M","-0.64%"
"Jul 26, 2021","15,618.98","15,586.66","15,641.61","15,544.94","38.64M","-0.32%"
"Jul 23, 2021","15,669.29","15,603.69","15,681.41","15,583.65","54.90M","1.00%"
"Jul 22, 2021","15,514.54","15,533.22","15,578.75","15,471.47","50.33M","0.60%"
"Jul 21, 2021","15,422.50","15,239.92","15,443.76","15,194.54","65.07M","1.36%"
"Jul 20, 2021","15,216.27","15,234.85","15,300.29","15,091.90","60.03M","0.55%"
"Jul 19, 2021","15,133.20","15,420.14","15,423.84","15,048.56","85.99M","-2.62%"
"Jul 16, 2021","15,540.31","15,682.75","15,699.93","15,476.99","60.31M","-0.57%"
"Jul 15, 2021","15,629.66","15,737.36","15,737.36","15,592.01","62.68M","-1.01%"
"Jul 14, 2021","15,788.98","15,733.19","15,810.68","15,717.83","41.15M","-0.00%"
"Jul 13, 2021","15,789.64","15,769.51","15,806.57","15,747.57","50.05M","-0.01%"
"Jul 12, 2021","15,790.51","15,675.42","15,806.90","15,631.84","47.46M","0.65%"
"Jul 09, 2021","15,687.93","15,497.93","15,687.93","15,479.44","60.46M","1.73%"
"Jul 08, 2021","15,420.64","15,584.72","15,591.65","15,304.41","78.81M","-1.73%"
"Jul 07, 2021","15,692.71","15,606.94","15,700.95","15,604.58","59.73M","1.17%"
"Jul 06, 2021","15,511.38","15,615.07","15,647.88","15,466.66","53.76M","-0.96%"
"Jul 05, 2021","15,661.97","15,628.42","15,673.88","15,535.29","29.75M","0.08%"
"Jul 02, 2021","15,650.09","15,644.84","15,705.53","15,616.43","43.11M","0.30%"
"Jul 01, 2021","15,603.81","15,624.28","15,708.78","15,488.49","49.57M","0.47%"
"Jun 30, 2021","15,531.04","15,700.06","15,709.34","15,461.20","63.95M","-1.02%"
"Jun 29, 2021","15,690.59","15,565.83","15,752.93","15,555.49","50.28M","0.88%"
"Jun 28, 2021","15,554.18","15,570.80","15,668.08","15,542.17","43.95M","-0.34%"
"Jun 25, 2021","15,607.97","15,584.90","15,612.66","15,533.40","46.61M","0.12%"
"Jun 24, 2021","15,589.23","15,528.55","15,606.89","15,476.67","52.47M","0.86%"
"Jun 23, 2021","15,456.39","15,674.33","15,675.90","15,456.39","50.47M","-1.15%"
"Jun 22, 2021","15,636.33","15,587.57","15,652.75","15,518.31","53.06M","0.21%"
"Jun 21, 2021","15,603.24","15,391.50","15,606.57","15,309.44","61.78M","1.00%"
"Jun 18, 2021","15,448.04","15,720.52","15,736.93","15,426.76","126.35M","-1.78%"
"Jun 17, 2021","15,727.67","15,655.32","15,752.34","15,649.22","62.36M","0.11%"
"Jun 16, 2021","15,710.57","15,756.83","15,759.66","15,674.61","58.59M","-0.12%"
"Jun 15, 2021","15,729.52","15,744.77","15,792.35","15,714.94","46.00M","0.36%"
"Jun 14, 2021","15,673.64","15,739.89","15,802.67","15,673.64","46.56M","-0.13%"
"Jun 11, 2021","15,693.27","15,583.29","15,703.84","15,548.35","57.09M","0.78%"
"Jun 10, 2021","15,571.22","15,610.08","15,637.94","15,513.36","57.00M","-0.06%"
"Jun 09, 2021","15,581.14","15,642.74","15,669.14","15,505.15","50.36M","-0.38%"
"Jun 08, 2021","15,640.60","15,674.41","15,727.23","15,638.32","54.92M","-0.23%"
"Jun 07, 2021","15,677.15","15,661.58","15,732.06","15,614.18","46.95M","-0.10%"
"Jun 04, 2021","15,692.90","15,651.69","15,705.89","15,607.92","44.67M","0.39%"
"Jun 03, 2021","15,632.67","15,591.54","15,657.15","15,477.32","45.34M","0.19%"
"Jun 02, 2021","15,602.71","15,570.77","15,631.02","15,554.02","51.68M","0.23%"
"Jun 01, 2021","15,567.36","15,513.13","15,685.40","15,512.36","56.07M","0.95%"
"May 31, 2021","15,421.13","15,496.48","15,499.64","15,414.38","36.50M","-0.64%"
"May 28, 2021","15,519.98","15,443.14","15,548.72","15,435.74","56.86M","0.74%"
"May 27, 2021","15,406.73","15,419.20","15,490.06","15,350.67","119.42M","-0.28%"
"May 26, 2021","15,450.72","15,520.44","15,541.86","15,407.48","58.67M","-0.09%"
"May 25, 2021","15,465.09","15,548.29","15,568.60","15,465.09","92.98M","0.18%"
"May 21, 2021","15,437.51","15,411.03","15,467.19","15,364.43","70.07M","0.44%"
"May 20, 2021","15,370.26","15,207.32","15,370.26","15,102.35","65.60M","1.70%"
"May 19, 2021","15,113.56","15,238.82","15,266.53","14,961.27","75.86M","-1.77%"
"May 18, 2021","15,386.58","15,514.72","15,538.01","15,344.10","65.84M","-0.07%"
"May 17, 2021","15,396.62","15,432.34","15,482.23","15,353.66","67.79M","-0.13%"
"May 14, 2021","15,416.64","15,301.74","15,417.24","15,214.68","69.23M","1.43%"
"May 13, 2021","15,199.68","14,967.80","15,235.89","14,816.35","64.37M","0.33%"
"May 12, 2021","15,150.22","15,144.04","15,226.36","15,058.11","79.30M","0.20%"
"May 11, 2021","15,119.75","15,253.32","15,255.89","15,006.73","80.13M","-1.82%"
"May 10, 2021","15,400.41","15,417.53","15,419.43","15,347.96","65.16M","0.00%"
"May 07, 2021","15,399.65","15,348.32","15,406.41","15,290.20","74.56M","1.34%"
"May 06, 2021","15,196.74","15,170.77","15,281.40","15,092.77","77.04M","0.17%"
"May 05, 2021","15,170.78","14,969.63","15,170.78","14,963.77","81.59M","2.12%"
"May 04, 2021","14,856.48","15,259.50","15,260.75","14,845.27","89.42M","-2.49%"
"May 03, 2021","15,236.47","15,191.79","15,268.56","15,111.30","48.82M","0.66%"
"Apr 30, 2021","15,135.91","15,204.39","15,244.26","15,135.91","75.19M","-0.12%"
"Apr 29, 2021","15,154.20","15,326.23","15,329.72","15,085.02","80.11M","-0.90%"
"Apr 28, 2021","15,292.18","15,320.40","15,355.28","15,266.61","79.61M","0.28%"
"Apr 27, 2021","15,249.27","15,282.84","15,293.89","15,186.76","54.51M","-0.31%"
"Apr 26, 2021","15,296.34","15,297.93","15,325.89","15,237.02","49.12M","0.11%"
"Apr 23, 2021","15,279.62","15,267.76","15,309.09","15,149.35","57.80M","-0.27%"
"Apr 22, 2021","15,320.52","15,252.04","15,328.33","15,230.20","59.63M","0.82%"
"Apr 21, 2021","15,195.97","15,179.91","15,210.69","15,071.78","67.08M","0.44%"
"Apr 20, 2021","15,129.51","15,361.15","15,393.13","15,109.54","76.22M","-1.55%"
"Apr 19, 2021","15,368.39","15,496.87","15,501.84","15,368.14","61.84M","-0.59%"
"Apr 16, 2021","15,459.75","15,277.85","15,473.83","15,274.22","82.76M","1.34%"
"Apr 15, 2021","15,255.33","15,238.63","15,271.69","15,227.63","61.83M","0.30%"
"Apr 14, 2021","15,209.15","15,253.59","15,255.92","15,191.51","66.67M","-0.17%"
"Apr 13, 2021","15,234.36","15,244.62","15,281.65","15,184.95","62.44M","0.13%"
"Apr 12, 2021","15,215.00","15,238.85","15,275.33","15,212.24","53.65M","-0.13%"
"Apr 09, 2021","15,234.16","15,198.14","15,243.56","15,157.21","56.87M","0.21%"
"Apr 08, 2021","15,202.68","15,236.44","15,247.78","15,144.11","68.86M","0.17%"
"Apr 07, 2021","15,176.36","15,221.23","15,242.73","15,160.28","59.12M","-0.24%"
"Apr 06, 2021","15,212.68","15,289.97","15,311.86","15,209.90","79.48M","0.70%"
"Apr 01, 2021","15,107.17","15,053.77","15,110.92","15,032.52","67.89M","0.66%"
"Mar 31, 2021","15,008.34","14,982.12","15,026.49","14,973.59","76.06M","-0.00%"
"Mar 30, 2021","15,008.61","14,897.66","15,029.70","14,890.28","71.17M","1.29%"
"Mar 29, 2021","14,817.72","14,809.80","14,845.42","14,756.04","71.11M","0.47%"
"Mar 26, 2021","14,748.94","14,714.59","14,776.32","14,693.94","67.17M","0.87%"
"Mar 25, 2021","14,621.36","14,550.40","14,621.36","14,422.65","80.10M","0.08%"
"Mar 24, 2021","14,610.39","14,543.58","14,619.04","14,523.12","65.08M","-0.35%"
"Mar 23, 2021","14,662.02","14,582.07","14,707.37","14,516.22","73.30M","0.03%"
"Mar 22, 2021","14,657.21","14,551.17","14,677.12","14,539.27","66.13M","0.25%"
"Mar 19, 2021","14,621.00","14,697.26","14,747.56","14,563.21","207.44M","-1.05%"
"Mar 18, 2021","14,775.52","14,673.72","14,804.01","14,669.95","104.69M","1.23%"
"Mar 17, 2021","14,596.61","14,565.29","14,601.63","14,539.70","75.96M","0.27%"
"Mar 16, 2021","14,557.58","14,519.72","14,601.79","14,511.30","71.43M","0.66%"
"Mar 15, 2021","14,461.42","14,504.49","14,572.24","14,409.35","62.77M","-0.28%"
"Mar 12, 2021","14,502.39","14,492.45","14,527.42","14,450.72","69.10M","-0.46%"
"Mar 11, 2021","14,569.39","14,553.54","14,595.02","14,515.07","74.07M","0.20%"
"Mar 10, 2021","14,540.25","14,439.45","14,560.97","14,408.52","95.72M","0.71%"
"Mar 09, 2021","14,437.94","14,345.51","14,475.65","14,309.35","107.88M","0.40%"
"Mar 08, 2021","14,380.91","14,024.57","14,402.92","13,977.13","109.07M","3.31%"
"Mar 05, 2021","13,920.69","13,958.54","14,068.03","13,868.20","89.79M","-0.97%"
"Mar 04, 2021","14,056.34","14,015.44","14,095.81","13,959.27","84.62M","-0.17%"
"Mar 03, 2021","14,080.03","14,130.86","14,197.49","13,979.73","84.77M","0.29%"
"Mar 02, 2021","14,039.80","13,962.07","14,101.79","13,961.62","63.31M","0.19%"
"Mar 01, 2021","14,012.82","13,962.43","14,022.02","13,873.83","69.57M","1.64%"
"Feb 26, 2021","13,786.29","13,685.80","13,881.26","13,673.07","104.07M","-0.67%"
"Feb 25, 2021","13,879.33","14,045.02","14,051.01","13,879.17","95.43M","-0.69%"
"Feb 24, 2021","13,976.00","13,855.85","13,998.30","13,855.85","68.92M","0.80%"
"Feb 23, 2021","13,864.81","13,984.98","13,989.24","13,664.71","88.19M","-0.61%"
"Feb 22, 2021","13,950.04","13,858.56","13,975.08","13,802.55","66.04M","-0.31%"
"Feb 19, 2021","13,993.23","13,941.40","14,026.18","13,892.72","72.97M","0.77%"
"Feb 18, 2021","13,886.93","13,926.84","13,961.05","13,853.77","67.92M","-0.16%"
"Feb 17, 2021","13,909.27","14,028.10","14,036.95","13,894.06","81.27M","-1.10%"
"Feb 16, 2021","14,064.60","14,105.13","14,130.74","14,049.98","58.66M","-0.32%"
"Feb 15, 2021","14,109.48","14,109.07","14,131.21","14,074.25","49.90M","0.42%"
"Feb 12, 2021","14,049.89","13,976.13","14,050.96","13,916.73","57.70M","0.06%"
"Feb 11, 2021","14,040.91","13,958.39","14,053.06","13,916.63","53.85M","0.77%"
"Feb 10, 2021","13,932.97","14,063.12","14,063.12","13,830.12","67.41M","-0.56%"
"Feb 09, 2021","14,011.80","14,055.60","14,061.61","13,962.14","58.41M","-0.34%"
"Feb 08, 2021","14,059.91","14,156.84","14,169.49","14,056.55","61.53M","0.02%"
"Feb 05, 2021","14,056.72","14,061.69","14,114.44","14,013.13","76.25M","-0.03%"
"Feb 04, 2021","14,060.29","13,971.94","14,069.89","13,955.70","83.87M","0.91%"
"Feb 03, 2021","13,933.63","13,986.72","13,988.15","13,866.39","82.15M","0.71%"
"Feb 02, 2021","13,835.16","13,724.12","13,844.94","13,693.93","78.71M","1.56%"
"Feb 01, 2021","13,622.02","13,559.94","13,648.05","13,518.45","65.32M","1.41%"
"Jan 29, 2021","13,432.87","13,474.20","13,593.03","13,403.74","103.42M","-1.71%"
"Jan 28, 2021","13,665.93","13,500.64","13,698.54","13,310.95","90.78M","0.33%"
"Jan 27, 2021","13,620.46","13,827.47","13,851.84","13,475.03","105.22M","-1.81%"
"Jan 26, 2021","13,870.99","13,687.39","13,925.73","13,670.23","79.51M","1.66%"
"Jan 25, 2021","13,643.95","13,943.96","13,946.85","13,599.78","77.57M","-1.66%"
"Jan 22, 2021","13,873.97","13,858.05","13,897.73","13,744.26","74.57M","-0.24%"
"Jan 21, 2021","13,906.67","13,997.78","14,026.35","13,878.84","63.25M","-0.11%"
"Jan 20, 2021","13,921.37","13,848.77","13,952.20","13,835.99","65.21M","0.77%"
"Jan 19, 2021","13,815.06","13,935.93","13,940.05","13,804.46","64.90M","-0.24%"
"Jan 18, 2021","13,848.35","13,701.98","13,850.40","13,701.74","49.83M","0.44%"
"Jan 15, 2021","13,787.73","13,904.30","13,958.16","13,672.67","96.85M","-1.44%"
"Jan 14, 2021","13,988.70","13,973.77","14,030.22","13,942.88","75.54M","0.35%"
"Jan 13, 2021","13,939.71","13,899.06","13,978.43","13,868.83","70.60M","0.11%"
"Jan 12, 2021","13,925.06","13,985.89","13,999.57","13,871.44","75.79M","-0.08%"
"Jan 11, 2021","13,936.66","13,986.42","14,007.65","13,806.69","67.15M","-0.80%"
"Jan 08, 2021","14,049.53","14,106.60","14,131.52","14,007.71","79.82M","0.58%"
"Jan 07, 2021","13,968.24","13,946.53","14,007.47","13,902.24","86.10M","0.55%"
"Jan 06, 2021","13,891.97","13,687.08","13,919.23","13,617.11","92.50M","1.76%"
"Jan 05, 2021","13,651.22","13,680.69","13,768.13","13,566.47","68.90M","-0.55%"
"Jan 04, 2021","13,726.74","13,890.22","13,907.13","13,647.79","70.21M","0.06%"
"Dec 30, 2020","13,718.78","13,750.99","13,797.09","13,717.47","28.32M","-0.31%"
"Dec 29, 2020","13,761.38","13,873.35","13,903.11","13,747.08","43.16M","-0.21%"
"Dec 28, 2020","13,790.29","13,779.05","13,818.65","13,740.21","49.25M","1.49%"
"Dec 23, 2020","13,587.23","13,456.63","13,601.71","13,456.63","48.73M","1.26%"
"Dec 22, 2020","13,418.11","13,311.02","13,441.59","13,310.42","54.62M","1.30%"
"Dec 21, 2020","13,246.30","13,398.22","13,399.99","13,060.34","98.29M","-2.82%"
"Dec 18, 2020","13,630.51","13,649.66","13,774.45","13,624.25","156.77M","-0.27%"
"Dec 17, 2020","13,667.25","13,691.49","13,725.84","13,649.53","77.21M","0.75%"
"Dec 16, 2020","13,565.98","13,416.29","13,596.74","13,412.41","77.80M","1.52%"
"Dec 15, 2020","13,362.87","13,216.49","13,374.96","13,210.15","67.27M","1.06%"
"Dec 14, 2020","13,223.16","13,224.26","13,292.30","13,190.53","63.02M","0.83%"
"Dec 11, 2020","13,114.30","13,255.24","13,265.61","13,009.48","82.14M","-1.36%"
"Dec 10, 2020","13,295.73","13,341.68","13,370.44","13,213.06","68.81M","-0.33%"
"Dec 09, 2020","13,340.26","13,344.14","13,454.13","13,327.87","77.31M","0.47%"
"Dec 08, 2020","13,278.49","13,248.02","13,297.49","13,199.45","54.20M","0.06%"
"Dec 07, 2020","13,271.00","13,255.78","13,289.43","13,163.26","54.32M","-0.21%"
"Dec 04, 2020","13,298.96","13,230.61","13,315.37","13,225.08","64.07M","0.35%"
"Dec 03, 2020","13,252.86","13,304.83","13,307.54","13,223.93","64.31M","-0.45%"
"Dec 02, 2020","13,313.24","13,341.91","13,359.27","13,272.47","63.82M","-0.52%"
"Dec 01, 2020","13,382.30","13,371.66","13,434.30","13,334.99","66.68M","0.69%"
"Nov 30, 2020","13,291.16","13,270.51","13,445.11","13,256.76","107.37M","-0.33%"
"Nov 27, 2020","13,335.68","13,280.51","13,364.17","13,272.74","63.82M","0.37%"
"Nov 26, 2020","13,286.57","13,315.21","13,316.19","13,274.89","42.95M","-0.02%"
"Nov 25, 2020","13,289.80","13,346.77","13,346.96","13,235.82","76.83M","-0.02%"
"Nov 24, 2020","13,292.44","13,254.42","13,296.76","13,192.32","82.73M","1.26%"
"Nov 23, 2020","13,126.97","13,215.44","13,312.42","13,126.97","68.58M","-0.08%"
"Nov 20, 2020","13,137.25","13,054.64","13,172.91","13,054.64","70.13M","0.39%"
"Nov 19, 2020","13,086.16","13,101.71","13,138.14","13,034.51","68.04M","-0.88%"
"Nov 18, 2020","13,201.89","13,086.43","13,213.63","13,074.67","67.64M","0.52%"
"Nov 17, 2020","13,133.47","13,130.54","13,151.02","13,050.41","68.59M","-0.04%"
"Nov 16, 2020","13,138.61","13,170.52","13,277.45","13,081.11","85.19M","0.47%"
"Nov 13, 2020","13,076.72","13,036.97","13,145.48","13,004.82","79.17M","0.18%"
"Nov 12, 2020","13,052.95","13,073.48","13,168.09","13,022.28","82.37M","-1.24%"
"Nov 11, 2020","13,216.18","13,205.95","13,244.32","13,138.76","95.53M","0.40%"
"Nov 10, 2020","13,163.11","13,109.77","13,237.59","13,018.43","142.55M","0.51%"
"Nov 09, 2020","13,095.97","12,713.19","13,297.05","12,670.58","189.27M","4.94%"
"Nov 06, 2020","12,480.02","12,531.74","12,595.87","12,370.08","80.48M","-0.70%"
"Nov 05, 2020","12,568.09","12,420.88","12,591.30","12,398.59","87.08M","1.98%"
"Nov 04, 2020","12,324.22","11,896.11","12,329.96","11,848.21","105.44M","1.95%"
"Nov 03, 2020","12,088.98","11,858.81","12,088.98","11,851.03","86.77M","2.59%"
"Nov 02, 2020","11,784.10","11,644.15","11,833.55","11,546.20","-","1.97%"
"Oct 30, 2020","11,556.48","11,472.61","11,614.13","11,450.08","85.60M","-0.36%"
"Oct 29, 2020","11,598.07","11,631.07","11,707.43","11,458.56","104.96M","0.32%"
"Oct 28, 2020","11,560.51","11,848.31","11,852.02","11,457.12","137.19M","-4.17%"
"Oct 27, 2020","12,063.57","12,206.42","12,223.60","12,034.80","87.41M","-0.93%"
"Oct 26, 2020","12,177.18","12,303.41","12,404.51","12,174.22","81.60M","-3.71%"
"Oct 23, 2020","12,645.75","12,517.98","12,718.27","12,514.99","55.67M","0.82%"
"Oct 22, 2020","12,543.06","12,429.41","12,583.02","12,345.45","59.74M","-0.12%"
"Oct 21, 2020","12,557.64","12,764.45","12,765.05","12,545.59","62.62M","-1.41%"
"Oct 20, 2020","12,736.95","12,819.15","12,850.29","12,725.45","61.47M","-0.92%"
"Oct 19, 2020","12,854.66","12,948.63","13,028.73","12,820.26","48.58M","-0.42%"
"Oct 16, 2020","12,908.99","12,773.35","12,955.86","12,733.06","76.57M","1.62%"
"Oct 15, 2020","12,703.75","12,826.13","12,839.55","12,599.82","78.93M","-2.49%"
"Oct 14, 2020","13,028.06","13,012.69","13,066.44","12,975.12","52.93M","0.07%"
"Oct 13, 2020","13,018.99","13,132.90","13,132.90","12,959.70","52.84M","-0.91%"
"Oct 12, 2020","13,138.41","13,086.06","13,151.80","13,058.34","48.91M","0.67%"
"Oct 09, 2020","13,051.23","13,070.04","13,096.44","13,009.98","58.95M","0.07%"
"Oct 08, 2020","13,042.21","13,011.23","13,100.85","12,956.64","64.01M","0.88%"
"Oct 07, 2020","12,928.57","12,901.29","12,959.02","12,837.11","65.53M","0.17%"
"Oct 06, 2020","12,906.02","12,858.97","12,966.09","12,779.65","60.57M","0.61%"
"Oct 05, 2020","12,828.31","12,824.05","12,842.48","12,727.75","56.73M","1.10%"
"Oct 02, 2020","12,689.04","12,558.78","12,690.25","12,539.86","67.30M","-0.33%"
"Oct 01, 2020","12,730.77","12,812.08","12,836.65","12,671.23","87.11M","-0.23%"
