"Date","Daily cases","Percentage Difference"
2020-01-22,0,0.505842975316827
2020-01-23,1,0.768568773218226
2020-01-24,1,1.53264719492329
2020-01-27,0,0.810053743276837
2020-01-28,0,0.862314974935093
2020-01-29,0,0.749231478541837
2020-01-30,0,1.35943385915889
2020-01-31,1,2.25862048693136
2020-02-03,3,1.09127228005458
2020-02-04,0,0.722688007733114
2020-02-05,0,1.05656447790712
2020-02-06,0,0.549382166697522
2020-02-07,1,0.788222933331501
2020-02-10,0,0.96925321238232
2020-02-11,0,0.69907716492346
2020-02-12,1,0.548771926968772
2020-02-13,1,0.643565625980259
2020-02-14,0,0.612328759195062
2020-02-18,5,0.73006350885255
2020-02-19,3,0.459107138688285
2020-02-20,1,1.40172575482486
2020-02-21,5,0.874684243743406
2020-02-24,4,1.74194007781535
2020-02-25,4,4.17641488666074
2020-02-26,8,2.3948745034101
2020-02-27,5,3.89311403242416
2020-02-28,4,3.24155833802523
2020-03-02,36,5.04513309786743
2020-03-03,64,5.22177414390027
2020-03-04,67,3.05694187809581
2020-03-05,78,2.769501237759
2020-03-06,121,2.99783292009138
2020-03-09,420,5.28267543738063
2020-03-10,493,5.46341066852415
2020-03-11,514,5.3253972476136
2020-03-12,748,7.6535475096727
2020-03-13,911,8.56384230917369
2020-03-16,2349,7.8874549537612
2020-03-17,3222,7.2565757855789
2020-03-18,4903,7.97766070263527
2020-03-19,6174,6.3882264809277
2020-03-20,7437,7.25284936251956
2020-03-23,10728,4.86068441496452
2020-03-24,11351,5.3901074480742
2020-03-25,14160,6.96264204348532
2020-03-26,18772,5.30623667716442
2020-03-27,20039,3.91946085608002
2020-03-30,15831,3.89980266591222
2020-03-31,23297,2.83444745327631
2020-04-01,28347,3.32520574654373
2020-04-02,30045,3.51907561665552
2020-04-03,31838,2.7639213535992
2020-04-06,28584,4.90059149566473
2020-04-07,30225,4.24974741463501
2020-04-08,33682,3.5951294029685
2020-04-09,34988,2.12530949372258
2020-04-13,24932,2.57971700814716
2020-04-14,25186,1.49668866956305
2020-04-15,25379,1.77633532296541
2020-04-16,31820,1.65223012613263
2020-04-17,29778,1.85959798142148
2020-04-20,25811,2.01735047096649
2020-04-21,25455,1.82853050923259
2020-04-22,31434,1.16500222564411
2020-04-23,32997,1.69736520162783
2020-04-24,34130,1.72856983198599
2020-04-27,24218,1.52779726050434
2020-04-28,23487,1.98189497901262
2020-04-29,27205,1.26285180691264
2020-04-30,32425,1.63481570648359
2020-05-01,30225,1.99086883411827
2020-05-04,21179,1.73305224278348
2020-05-05,23207,1.25236710538998
2020-05-06,24303,1.64914169813603
2020-05-07,30615,1.08589766406608
2020-05-08,28046,1.00233299867203
2020-05-11,19299,1.22217925639853
2020-05-12,24260,2.57774282683476
2020-05-13,17740,2.74180176644105
2020-05-14,34532,3.62443473225611
2020-05-15,27118,1.59684038583619
2020-05-18,24690,2.65974854270747
2020-05-19,20691,1.6250820143083
2020-05-20,24490,0.788263291506318
2020-05-21,25523,1.41611192979982
2020-05-22,26029,0.76911233070723
2020-05-26,16954,1.57963868237204
2020-05-27,20367,2.14270047346367
2020-05-28,24198,1.56525590443355
2020-05-29,23554,1.78614167386098
2020-06-01,17358,1.13610446310421
2020-06-02,20731,0.855874368768756
2020-06-03,21109,1.64943267853557
2020-06-04,20712,1.15041223518056
2020-06-05,24424,1.851404058322
2020-06-08,18038,1.26879377749933
2020-06-09,18594,1.08541582605946
2020-06-10,22484,1.53672821695949
2020-06-11,22688,4.71559147319413
2020-06-12,28748,3.47598423006365
2020-06-15,20588,4.1328666973097
2020-06-16,24926,3.04955503080438
2020-06-17,25603,1.26422568368666
2020-06-18,28758,1.17559212756716
2020-06-19,33308,2.64993459245256
2020-06-22,28698,1.5161377441666
2020-06-23,37921,0.797391271503334
2020-06-24,37431,2.71489260317229
2020-06-25,47010,2.19625966566888
2020-06-26,46553,2.65016383233306
2020-06-29,38602,1.99217670523348
2020-06-30,46588,1.67472030255825
2020-07-01,59741,1.18183933943802
2020-07-02,55608,1.64012794298393
2020-07-06,51214,1.15291332918113
2020-07-07,56061,1.18501557698844
2020-07-08,65379,1.12945910833433
2020-07-09,62315,2.24600444846561
2020-07-10,68569,1.79292840462925
2020-07-13,56542,2.25824796159392
2020-07-14,65003,2.64034696453484
2020-07-15,72309,1.40931232366159
2020-07-16,70182,1.08155783977945
2020-07-17,77085,0.705805592578164
2020-07-20,59017,0.979252183531126
2020-07-21,63329,0.963570520304285
2020-07-22,72662,0.895606734085807
2020-07-23,74060,1.54597396154099
2020-07-24,73913,0.840452767338959
2020-07-27,53265,0.748467834996284
2020-07-28,59193,0.737472965529105
2020-07-29,65130,0.857188590550318
2020-07-30,67146,1.46141068046207
2020-07-31,68823,1.62593194252979
2020-08-03,45304,0.649416509333662
2020-08-04,51918,0.879272416112588
2020-08-05,56251,1.09661852254395
2020-08-06,55160,0.912552129792521
2020-08-07,62142,0.851100562017529
2020-08-10,44149,1.14175504733319
2020-08-11,59189,1.90167013300075
2020-08-12,55545,0.717767088391064
2020-08-13,52153,0.703960206454832
2020-08-14,56242,0.783749452789167
2020-08-17,41818,0.657192596917633
2020-08-18,41715,0.800325270505291
2020-08-19,47290,0.981678513693741
2020-08-20,47057,0.922873140110119
2020-08-21,47713,0.980119778040791
2020-08-24,36026,0.969503354437596
2020-08-25,40926,1.08387758205062
2020-08-26,47495,0.70747867857324
2020-08-27,47226,0.948416746859331
2020-08-28,46938,0.857617255663225
2020-08-31,39567,0.982717800081781
2020-09-01,38841,1.29425857568342
